頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 1 ,TW0000062017,006201,元大富櫃50,上櫃 ,ETF,,2011/01/27,CEOGEU,
 2 ,TW00000679B0,00679B,元大美債20年,上櫃 ,ETF,,2017/01/17,CEOIBU,
 3 ,TW00000687B3,00687B,國泰20年美債,上櫃 ,ETF,,2017/04/13,CEOJBU,
 4 ,TW00000694B9,00694B,富邦美債1-3年,上櫃 ,ETF,,2017/06/08,CEOGBU,
 5 ,TW00000695B6,00695B,富邦美債7-10年,上櫃 ,ETF,,2017/06/08,CEOGBU,
 6 ,TW00000696B4,00696B,富邦美債20年,上櫃 ,ETF,,2017/06/08,CEOGBU,
 7 ,TW00000697B2,00697B,元大美債7-10,上櫃 ,ETF,,2017/06/23,CEOGBU,
 8 ,TW00000718B6,00718B,富邦中國政策債,上櫃 ,ETF,,2018/02/08,CEOGBU,
 9 ,TW00000719B4,00719B,元大美債1-3,上櫃 ,ETF,,2018/02/01,CEOJBU,
 10 ,TW00000720B2,00720B,元大投資級公司債,上櫃 ,ETF,,2018/02/01,CEOJBU,
 11 ,TW00000721B0,00721B,元大中國債3-5,上櫃 ,ETF,,2018/02/01,CEOJBU,
 12 ,TW00000722B8,00722B,群益投資級電信債,上櫃 ,ETF,,2017/12/15,CEOIBU,
 13 ,TW00000723B6,00723B,群益投資級科技債,上櫃 ,ETF,,2017/12/15,CEOIBU,
 14 ,TW00000724B4,00724B,群益投資級金融債,上櫃 ,ETF,,2017/12/15,CEOIBU,
 15 ,TW00000725B1,00725B,國泰投資級公司債,上櫃 ,ETF,,2018/02/07,CEOJBU,
 16 ,TW00000726B9,00726B,國泰5Y+新興債,上櫃 ,ETF,,2018/02/07,CEOJBU,
 17 ,TW00000727B7,00727B,國泰1-5Y非投等債,上櫃 ,ETF,,2018/02/07,CEOIBU,
 18 ,TW00000734B3,00734B,台新JPM新興債,上櫃 ,ETF,,2018/05/24,CEOIBU,
 19 ,TW00000740B0,00740B,富邦全球投等債,上櫃 ,ETF,,2018/06/08,CEOIBU,
 20 ,TW00000741B8,00741B,富邦全球非投等債,上櫃 ,ETF,,2018/06/08,CEOIBU,
 21 ,TW00000746B7,00746B,富邦A級公司債,上櫃 ,ETF,,2018/08/15,CEOIBU,
 22 ,TW00000749B1,00749B,凱基新興債10+,上櫃 ,ETF,,2018/09/20,CEOIBU,
 23 ,TW00000750B9,00750B,凱基科技債10+,上櫃 ,ETF,,2018/09/20,CEOIBU,
 24 ,TW00000751B7,00751B,元大AAA至A公司債,上櫃 ,ETF,,2018/10/03,CEOJBU,
 25 ,TW00000754B1,00754B,群益AAA-AA公司債,上櫃 ,ETF,,2018/10/22,CEOIBU,
 26 ,TW00000755B8,00755B,群益投資級公用債,上櫃 ,ETF,,2018/10/22,CEOIBU,
