頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 1 ,TW0007406001,7406,宇萌,創櫃板 ,普通股,,2014/03/31,ESVUFR,
 2 ,TW0007407009,7407,京冠,創櫃板 ,普通股,,2014/03/14,ESVUFR,
 3 ,TW0007412009,7412,生態綠,創櫃板 ,普通股,,2014/03/21,ESVUFR,
 4 ,TW0007413007,7413,多扶,創櫃板 ,普通股,,2014/04/18,ESVUFR,
 5 ,TW0007425001,7425,膳安,創櫃板 ,普通股,,2014/06/30,ESVUFR,
 6 ,TW0007428005,7428,戴維,創櫃板 ,普通股,,2014/06/13,ESVUFR,
 7 ,TW0007430001,7430,纖米,創櫃板 ,普通股,,2014/06/27,ESVUFR,
 8 ,TW0007431009,7431,健康,創櫃板 ,普通股,,2014/05/09,ESVUFR,
 9 ,TW0007435000,7435,健茂,創櫃板 ,普通股,,2014/06/13,ESVUFR,
 10 ,TW0007436008,7436,新奢華,創櫃板 ,普通股,,2014/10/01,ESVUFR,
 11 ,TW0007449001,7449,元皓,創櫃板 ,普通股,電子工業,2014/12/26,ESVUFR,
 12 ,TW0007450009,7450,那米亞,創櫃板 ,普通股,,2014/12/15,ESVUFR,
 13 ,TW0007451007,7451,頂豪,創櫃板 ,普通股,生技醫療業,2014/12/31,ESVUFR,
 14 ,TW0007455008,7455,樺緯,創櫃板 ,普通股,,2015/01/15,ESVUFR,
 15 ,TW0007457004,7457,月太湛,創櫃板 ,普通股,生技醫療業,2014/12/29,ESVUFR,
 16 ,TW0007458002,7458,網迅雲,創櫃板 ,普通股,文化創意業,2014/12/25,ESVUFR,
 17 ,TW0007460008,7460,天空,創櫃板 ,普通股,,2014/11/05,ESVUFR,
 18 ,TW0007467003,7467,桀苙,創櫃板 ,普通股,文化創意業,2014/12/31,ESVUFR,
 19 ,TW0007472003,7472,吉時,創櫃板 ,普通股,文化創意業,2014/12/31,ESVUFR,
 20 ,TW0007485B16,7485,福倫,創櫃板 ,普通股,,2015/12/15,ESVUFR,
 21 ,TW0007487B14,7487,同仁生,創櫃板 ,普通股,生技醫療業,2015/12/28,ESVUFR,
 22 ,TW0007490B19,7490,樂群,創櫃板 ,普通股,,2015/12/30,ESVUFR,
 23 ,TW0007491B18,7491,車之輪,創櫃板 ,普通股,,2016/01/06,ESVUFR,
 24 ,TW0007492B17,7492,一等一,創櫃板 ,普通股,,2016/01/25,ESVUFR,
 25 ,TW0007503B14,7503,自由系統,創櫃板 ,普通股,電子工業,2016/09/08,ESVUFR,
 26 ,TW0007505B12,7505,立達科,創櫃板 ,普通股,電子工業,2016/09/28,ESVUFR,
 27 ,TW0007514B11,7514,頂程國際,創櫃板 ,普通股,,2017/01/09,ESVUFR,
 28 ,TW0007518B17,7518,宏泰工,創櫃板 ,普通股,其他業,2017/06/19,ESVUFR,
 29 ,TW0007519B16,7519,歐思佛生技,創櫃板 ,普通股,生技醫療業,2017/06/16,ESVUFR,
 30 ,TW0007520B13,7520,沛美,創櫃板 ,普通股,,2017/06/20,ESVUFR,
 31 ,TW0007521B12,7521,千才生醫,創櫃板 ,普通股,生技醫療業,2017/05/25,ESVUFR,
 32 ,TW0007525B18,7525,綠品生技,創櫃板 ,普通股,,2017/09/20,ESVUFR,
 33 ,TW0007529B14,7529,台鼎,創櫃板 ,普通股,,2017/09/01,ESVUFR,
 34 ,TW0007532B19,7532,華圓設計,創櫃板 ,普通股,文化創意業,2017/10/16,ESVUFR,
 35 ,TW0007534B17,7534,安博森,創櫃板 ,普通股,,2017/10/24,ESVUFR,
 36 ,TW0007536B15,7536,醫百科技,創櫃板 ,普通股,生技醫療業,2018/03/12,ESVUFR,
 37 ,TW0007539B12,7539,鐵碳企業,創櫃板 ,普通股,,2018/02/01,ESVUFR,
 38 ,TW0007540B19,7540,千華數位文化,創櫃板 ,普通股,,2017/11/21,ESVUFR,
 39 ,TW0007541B18,7541,彬騰,創櫃板 ,普通股,,2018/03/29,ESVUFR,
 40 ,TW0007542B17,7542,宥盛,創櫃板 ,普通股,,2018/04/30,ESVUFR,
 41 ,TW0007543B16,7543,富宸,創櫃板 ,普通股,其他業,2018/04/20,ESVUFR,
 42 ,TW0007545B14,7545,台邦,創櫃板 ,普通股,,2018/05/21,ESVUFR,
 43 ,TW0007546B13,7546,綠野馬術,創櫃板 ,普通股,文化創意業,2018/06/04,ESVUFR,
 44 ,TW0007548B11,7548,偉喬生醫,創櫃板 ,普通股,生技醫療業,2018/07/16,ESVUFR,
 45 ,TW0007554B12,7554,十鼓文創,創櫃板 ,普通股,文化創意業,2018/10/25,ESVUFR,
 46 ,TW0007557B19,7557,牧陽能控,創櫃板 ,普通股,,2018/08/24,ESVUFR,
 47 ,TW0007564B10,7564,渥爾生醫,創櫃板 ,普通股,,2019/01/23,ESVUFR,
 48 ,TW0007568B16,7568,邦柏智慧,創櫃板 ,普通股,,2019/01/16,ESVUFR,
 49 ,TW0007569B15,7569,發條橘子,創櫃板 ,普通股,,2019/03/29,ESVUFR,
 50 ,TW0007571B11,7571,流行時尚,創櫃板 ,普通股,,2019/04/30,ESVUFR,
 51 ,TW0007572B10,7572,好食,創櫃板 ,普通股,,2019/05/02,ESVUFR,
 52 ,TW0007573B19,7573,高曼,創櫃板 ,普通股,,2019/05/06,ESVUFR,
 53 ,TW0007574B18,7574,元健大和,創櫃板 ,普通股,,2019/07/31,ESVUFR,
