頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 1 ,TW0002254000,2254,巨鎧精密-創,上市臺灣創新板 ,創新板,汽車工業,2023/10/20,ESVUFR,
 2 ,TW0002258001,2258,鴻華先進-創,上市臺灣創新板 ,創新板,汽車工業,2023/11/20,ESVUFR,
 3 ,TW0002432002,2432,倚天酷碁-創,上市臺灣創新板 ,創新板,電腦及週邊設備業,2023/05/31,ESVUFR,
 4 ,TW0003150009,3150,鈺寶-創,上市臺灣創新板 ,創新板,半導體業,2024/06/27,ESVUFR,
 5 ,TW0006423007,6423,億而得-創,上市臺灣創新板 ,創新板,半導體業,2024/05/15,ESVUFR,
 6 ,TW0006534001,6534,正瀚-創,上市臺灣創新板 ,創新板,生技醫療業,2023/12/21,ESVUFR,
 7 ,TW0006645005,6645,金萬林-創,上市臺灣創新板 ,創新板,生技醫療業,2023/12/21,ESVUFR,
 8 ,TW0006757008,6757,台灣虎航-創,上市臺灣創新板 ,創新板,航運業,2023/08/15,ESVUFR,
 9 ,TW0006771009,6771,平和環保-創,上市臺灣創新板 ,創新板,綠能環保,2024/05/17,ESVUFR,
 10 ,TW0006794001,6794,向榮生技-創,上市臺灣創新板 ,創新板,生技醫療業,2024/05/21,ESVUFR,
 11 ,KYG7148D1025,6854,錼創科技-KY創,上市臺灣創新板 ,創新板,半導體業,2022/08/18,ESVUFR,
 12 ,TW0006873003,6873,泓德能源-創,上市臺灣創新板 ,創新板,綠能環保,2023/03/06,ESVUFR,
 13 ,TW0006902000,6902,走著瞧-創,上市臺灣創新板 ,創新板,數位雲端,2023/07/13,ESVUFR,
 14 ,TW0006949001,6949,沛爾生醫-創,上市臺灣創新板 ,創新板,生技醫療業,2024/03/08,ESVUFR,
 15 ,TW0006951007,6951,青新-創,上市臺灣創新板 ,創新板,綠能環保,2024/06/18,ESVUFR,
 16 ,TW0008162009,8162,微矽電子-創,上市臺灣創新板 ,創新板,半導體業,2024/03/07,ESVUFR,
 17 ,TW0008487000,8487,愛爾達-創,上市臺灣創新板 ,創新板,數位雲端,2024/03/26,ESVUFR,
