頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 1 ,TW0001260008,1260,富味鄉,興櫃 ,股票,食品工業,2012/11/26,ESVUFR,
 2 ,TW0001269009,1269,乾杯,興櫃 ,股票,觀光餐旅,2016/08/29,ESVUFR,
 3 ,TW0001271005,1271,晨暉生技,興櫃 ,股票,生技醫療業,2021/01/18,ESVUFR,
 4 ,TW0001293009,1293,利統,興櫃 ,股票,食品工業,2021/10/29,ESVUFR,
 5 ,TW0001294007,1294,漢田生技,興櫃 ,股票,食品工業,2022/09/30,ESVUFR,
 6 ,TW0001295004,1295,生合,興櫃 ,股票,食品工業,2023/12/13,ESVUFR,
 7 ,TW0001343002,1343,旭東環保,興櫃 ,股票,綠能環保,2021/03/25,ESVUFR,
 8 ,TW0001480002,1480,東盟開發,興櫃 ,股票,鋼鐵工業,2023/10/27,ESVUFR,
 9 ,TW0001585008,1585,鎧鉅,興櫃 ,股票,電子零組件業,2007/05/02,ESVUFR,
 10 ,TW0001594000,1594,日高,興櫃 ,股票,電機機械,2010/10/13,ESVUFR,
 11 ,TW0001623007,1623,大東電,興櫃 ,股票,電器電纜,2024/05/28,ESVUFR,
 12 ,TW0001780005,1780,立弘,興櫃 ,股票,生技醫療業,2010/04/29,ESVUFR,
 13 ,TW0002071008,2071,震南鐵,興櫃 ,股票,鋼鐵工業,2019/09/23,ESVUFR,
 14 ,TW0002072006,2072,世紀風電,興櫃 ,股票,鋼鐵工業,2020/11/30,ESVUFR,
 15 ,TW0002237005,2237,華德動能,興櫃 ,股票,電機機械,2014/12/23,ESVUFR,
 16 ,TW0002245008,2245,詠勝昌,興櫃 ,股票,電機機械,2016/12/15,ESVUFR,
 17 ,KYG8T24R1076,2248,華勝-KY,興櫃 ,股票,電機機械,2018/09/11,ESVUFR,
 18 ,TW0002249000,2249,湧盛,興櫃 ,股票,電機機械,2019/12/19,ESVUFR,
 19 ,TW0002252004,2252,為昇科,興櫃 ,股票,其他電子業,2021/08/23,ESVUFR,
 20 ,TW0002255007,2255,凱銳光電,興櫃 ,股票,其他電子業,2021/11/30,ESVUFR,
 21 ,TW0002256005,2256,歐特明,興櫃 ,股票,其他電子業,2021/12/08,ESVUFR,
 22 ,TW0002644002,2644,中信造船,興櫃 ,股票,航運業,2022/10/11,ESVUFR,
